entity,code,year,net_forest_conversion,net_forest_conversion_log10
Algeria,DZA,1990,-8800,-3.9444826721501687
Algeria,DZA,2000,33900,4.5301996982030825
Algeria,DZA,2010,7600,3.8808135922807914
Algeria,DZA,2015,-1400.0000000000005,-3.146128035678238
Argentina,ARG,1990,-182600,-5.26150077319828
Argentina,ARG,2000,-316400,-5.500236474825639
Argentina,ARG,2010,-223400,-5.349083168779591
Argentina,ARG,2015,-104800,-5.020361282647708
Australia,AUS,1990,-206810.0000000001,-5.315571534614453
Australia,AUS,2000,-226799.99999999994,-5.355643050220869
Australia,AUS,2010,709680.0000000002,5.851062566237724
Australia,AUS,2015,NA,NA
Austria,AUT,1990,6249.999999999999,3.795880017344075
Austria,AUT,2000,2510.0000000000005,3.3996737214810384
Austria,AUT,2010,3600.0000000000005,3.5563025007672873
Austria,AUT,2015,3590.000000000001,3.5550944485783194
Azerbaijan,AZE,1990,NA,NA
Azerbaijan,AZE,2000,NA,NA
Azerbaijan,AZE,2010,9079.999999999998,3.958085848521085
Azerbaijan,AZE,2015,14159.999999999995,4.15106325335375
Bahrain,BHR,1990,10,1
Bahrain,BHR,2000,10,1
Bahrain,BHR,2010,20,1.3010299956639813
Bahrain,BHR,2015,20,1.3010299956639813
Bangladesh,BGD,1990,NA,NA
Bangladesh,BGD,2000,-3200,-3.505149978319906
Bangladesh,BGD,2010,-990.000000000002,-2.995635194597551
Bangladesh,BGD,2015,NA,NA
Belarus,BLR,1990,NA,NA
Belarus,BLR,2000,26110.000000000007,4.416806871822945
Belarus,BLR,2010,19900,4.298853076409706
Belarus,BLR,2015,26820,4.4284587735155805
Belgium,BEL,1990,NA,NA
Belgium,BEL,2000,NA,NA
Belgium,BEL,2010,-110.0000000000001,-2.0413926851582254
Belgium,BEL,2015,NA,NA
Belize,BLZ,1990,-14070,-4.1482940974347455
Belize,BLZ,2000,-6790,-3.8318697742805017
Belize,BLZ,2010,-11710,-4.068556895072363
Belize,BLZ,2015,-11160,-4.04766419460156
Bhutan,BTN,1990,9930,3.996949248495381
Bhutan,BTN,2000,9930,3.996949248495381
Bhutan,BTN,2010,1980,3.296665190261531
Bhutan,BTN,2015,1980,3.296665190261531
Bolivia,BOL,1990,-270330,-5.43189424440938
Bolivia,BOL,2000,-201540,-5.304361254225308
Bolivia,BOL,2010,-211760,-5.325843928293292
Bolivia,BOL,2015,-238690,-5.377834224470549
Brazil,BRA,1990,-3780940,-6.57759978556786
Brazil,BRA,2000,-3950790,-6.596683945838109
Brazil,BRA,2010,-1539179.9999999995,-6.187289411537507
Brazil,BRA,2015,-1453040,-6.162277569934749
Bulgaria,BGR,1990,4800,3.681241237375587
Bulgaria,BGR,2000,36200,4.558708570533166
Bulgaria,BGR,2010,19200,4.283301228703549
Bulgaria,BGR,2015,12000,4.079181246047625
Burundi,BDI,1990,-8250,-3.916453948549925
Burundi,BDI,2000,NA,NA
Burundi,BDI,2010,17140,4.23401081758718
Burundi,BDI,2015,NA,NA
Cameroon,CMR,1990,-90250,-4.955447210577695
Cameroon,CMR,2000,-69700,-4.84323277809801
Cameroon,CMR,2010,-56000,-4.748188027006201
Cameroon,CMR,2015,-56000,-4.748188027006201
Canada,CAN,1990,-47100,-4.673020907128897
Canada,CAN,2000,-47980,-4.681060243631812
Canada,CAN,2010,-41300,-4.615950051656401
Canada,CAN,2015,-37520,-4.574262829707027
Cape Verde,CPV,1990,NA,NA
Cape Verde,CPV,2000,300.00000000000034,2.477121254719663
Cape Verde,CPV,2010,300.00000000000034,2.477121254719663
Cape Verde,CPV,2015,300.00000000000017,2.4771212547196626
Cayman Islands,CYM,1990,-20,-1.3010299956639813
Cayman Islands,CYM,2000,-20,-1.3010299956639813
Cayman Islands,CYM,2010,NA,NA
Cayman Islands,CYM,2015,NA,NA
Central African Republic,CAF,1990,-30000,-4.477121254719663
Central African Republic,CAF,2000,-30000,-4.477121254719663
Central African Republic,CAF,2010,-30000,-4.477121254719663
Central African Republic,CAF,2015,-30000,-4.477121254719663
Chile,CHL,1990,57100,4.756636108245848
Chile,CHL,2000,90820,4.958181497564948
Chile,CHL,2010,174160,5.240948416033038
Chile,CHL,2015,122920,5.08962255158434
China,CHN,1990,1986000,6.297979244159363
China,CHN,2000,2360980,6.373092308160291
China,CHN,2010,1936770,6.287078049391461
China,CHN,2015,1936790,6.287082534097849
Colombia,COL,1990,-222260,-5.346861310011736
Colombia,COL,2000,-192770,-5.285039447366519
Colombia,COL,2010,-134630,-5.129141845792286
Colombia,COL,2015,-198550,-5.297869891399902
Congo,COG,1990,-12000,-4.079181246047625
Congo,COG,2000,-12000,-4.079181246047625
Congo,COG,2010,-12000,-4.079181246047625
Congo,COG,2015,-13800,-4.139879086401237
Costa Rica,CRI,1990,-5020,-3.7007037171450192
Costa Rica,CRI,2000,1400,3.146128035678238
Costa Rica,CRI,2010,16370.000000000002,4.214048679411942
Costa Rica,CRI,2015,16370.000000000002,4.214048679411942
Croatia,HRV,1990,NA,NA
Croatia,HRV,2000,3500,3.5440680443502757
Croatia,HRV,2010,400,2.6020599913279625
Croatia,HRV,2015,3420.0000000000005,3.534026106056135
Cuba,CUB,1990,37700,4.576341350205793
Cuba,CUB,2000,49700,4.696356388733332
Cuba,CUB,2010,50400,4.702430536445525
Cuba,CUB,2015,11600,4.064457989226918
Denmark,DNK,1990,4019.9999999999995,3.60422605308447
Denmark,DNK,2000,1490,3.173186268412274
Denmark,DNK,2010,7640.000000000002,3.88309335857569
Denmark,DNK,2015,750.0000000000001,2.8750612633917
Djibouti,DJI,1990,NA,NA
Djibouti,DJI,2000,NA,NA
Djibouti,DJI,2010,NA,NA
Djibouti,DJI,2015,40.000000000000014,1.6020599913279625
Dominican Republic,DOM,1990,37760.000000000015,4.577031985626031
Dominican Republic,DOM,2000,10070,4.003029470553618
Dominican Republic,DOM,2010,6110.000000000002,3.7860412102425545
Dominican Republic,DOM,2015,NA,NA
Ecuador,ECU,1990,-90170,-4.955062069675032
Ecuador,ECU,2000,-70229.99999999999,-4.846522668416287
Ecuador,ECU,2010,-41800,-4.6211762817750355
Ecuador,ECU,2015,-64269.99999999999,-4.8080082999104
El Salvador,SLV,1990,-4500,-3.6532125137753435
El Salvador,SLV,2000,-4500,-3.6532125137753435
El Salvador,SLV,2010,-4500,-3.6532125137753435
El Salvador,SLV,2015,-4500,-3.6532125137753435
Equatorial Guinea,GNQ,1990,NA,NA
Equatorial Guinea,GNQ,2000,-8360,-3.9222062774390163
Equatorial Guinea,GNQ,2010,-8360,-3.9222062774390163
Equatorial Guinea,GNQ,2015,-8360,-3.9222062774390163
Estonia,EST,1990,NA,NA
