incident_number,date_time_of_call,animal_type,animal_type_int,latitude,longitude
275091,2009-01-01T08:51:00Z,fox,5,51.39095371,-0.064166887
2075091,2009-01-04T10:07:00Z,dog,4,51.36894086,-0.161985191
2872091,2009-01-05T12:27:00Z,horse,6,51.60528344,-0.489683853
4011091,2009-01-07T06:29:00Z,dog,4,51.55722086,0.003880198
4211091,2009-01-07T11:55:00Z,dog,4,51.56106688,0.037433776
4715091,2009-01-07T21:24:00Z,dog,4,51.56331352,-0.047620955
5186091,2009-01-08T14:34:00Z,cat,2,51.4036626,0.111722339
5363091,2009-01-08T19:23:00Z,bird,1,51.47994253,-0.148525691
5682091,2009-01-09T11:01:00Z,dog,4,51.47209876,-0.093952949
5688091,2009-01-09T11:18:00Z,dog,4,51.55693599,0.161258357
5724091,2009-01-09T12:40:00Z,cat,2,51.45768783,-0.29580467
5770091,2009-01-09T13:43:00Z,cat,2,51.39205798,-0.062970325
5789091,2009-01-09T14:30:00Z,cat,2,51.45738228,-0.045120782
5797091,2009-01-09T14:39:00Z,dog,4,51.42143443,-0.117391508
6259091,2009-01-10T09:35:00Z,unknown - domestic animal or pet,7,51.49327092,-0.091384632
6270091,2009-01-10T10:09:00Z,dog,4,51.34167993,-0.11084037
6317091,2009-01-10T11:27:00Z,cat,2,51.49331609,-0.091397151
6355091,2009-01-10T12:32:00Z,dog,4,51.57668207,-0.340758362
6378091,2009-01-10T13:05:00Z,cat,2,51.52831647,0.119072708
6400091,2009-01-10T13:28:00Z,dog,4,51.58594049,-0.211240794
6530091,2009-01-10T16:38:00Z,cat,2,51.52659798,-0.009689766
6970091,2009-01-11T10:11:00Z,dog,4,51.50496632,-0.167814607
7051091,2009-01-11T12:32:00Z,bird,1,51.55893097,0.196208829
7720091,2009-01-12T16:39:00Z,dog,4,51.5332637,0.077790345
9252091,2009-01-15T12:38:00Z,bird,1,51.47426021,-0.133275614
10299091,2009-01-17T11:40:00Z,dog,4,51.47703452,-0.252645628
10470091,2009-01-17T18:08:00Z,dog,4,51.50581677,-0.366000236
10976091,2009-01-18T16:19:00Z,cat,2,51.60877075,0.23331817999999999
12451091,2009-01-21T10:33:00Z,fox,5,51.49139735,-0.121267747
12533091,2009-01-21T14:04:00Z,dog,4,51.43297839,-0.290379808
14652091,2009-01-25T10:26:00Z,cat,2,51.56654715,-0.12619315
14691091,2009-01-25T12:11:00Z,dog,4,51.48414487,-0.315155902
14784091,2009-01-25T15:27:00Z,unknown - domestic animal or pet,7,51.39205798,-0.062970325
14796091,2009-01-25T16:01:00Z,dog,4,51.36118516,-0.191210825
15664091,2009-01-27T10:49:00Z,Other,9,51.47623195,-0.021576172
15865091,2009-01-27T17:18:00Z,dog,4,51.44912339,0.060121979
16245091,2009-01-28T13:40:00Z,cat,2,51.56321059,0.013290743
17633091,2009-01-30T23:36:00Z,dog,4,51.48336535,0.182061343
17783091,2009-01-31T09:47:00Z,dog,4,51.58850236,-0.138917727
18386091,2009-02-01T09:30:00Z,fox,5,51.59770605,-0.257531516
20027091,2009-02-04T00:25:00Z,fox,5,51.49450385,-0.205949974
21166091,2009-02-06T09:08:00Z,dog,4,51.63874348,0.027660488
21319091,2009-02-06T14:42:00Z,cat,2,51.42248815,-0.083662056
21760091,2009-02-07T11:12:00Z,bird,1,51.51134253,-0.131356592
21807091,2009-02-07T12:43:00Z,Other,9,51.34119192,-0.319051309
22115091,2009-02-08T00:59:00Z,cat,2,51.54302515,-0.103421503
22276091,2009-02-08T12:08:00Z,dog,4,51.63284278,0.018351358
26040091,2009-02-14T11:38:00Z,dog,4,51.58554114,-0.134780349
26715091,2009-02-15T15:53:00Z,bird,1,51.50830086,-0.059254177
27109091,2009-02-16T11:13:00Z,bird,1,51.33781546,-0.115464278
27805091,2009-02-17T13:23:00Z,cat,2,51.48527845,0.17735639
27898091,2009-02-17T16:13:00Z,bird,1,51.48303265,-0.32477449
28382091,2009-02-18T13:22:00Z,bird,1,51.54957001,-0.256357552
30133091,2009-02-21T14:08:00Z,fox,5,51.50719166,-0.1136144
30194091,2009-02-21T16:12:00Z,cat,2,51.64662325,-0.199082475
30836091,2009-02-22T13:17:00Z,bird,1,51.40273602,-0.219693097
34598091,2009-03-01T08:31:00Z,dog,4,51.53927199,-0.155102008
35781091,2009-03-03T12:54:00Z,bird,1,51.51498237,0.009102484
36590091,2009-03-04T18:36:00Z,dog,4,51.43199153,-0.19047348
36729091,2009-03-04T23:35:00Z,dog,4,51.45843297,-0.002884196
37589091,2009-03-06T15:22:00Z,cat,2,51.53743364,0.043645966
37752091,2009-03-06T20:25:00Z,dog,4,51.49684467,-0.20084439
39040091,2009-03-08T23:54:00Z,cat,2,51.40562868,-0.056501617
39688091,2009-03-10T10:18:00Z,cat,2,51.60133166,0.043365143
40866091,2009-03-12T11:51:00Z,horse,6,51.55435513,0.182630569
40929091,2009-03-12T13:51:00Z,cat,2,51.60428185,0.097883827
42324091,2009-03-14T20:06:00Z,bird,1,51.45248937,-0.141230246
42388091,2009-03-14T21:29:00Z,Other,9,51.42268621,0.064096003
42805091,2009-03-15T15:55:00Z,bird,1,51.45643893,0.118404478
44593091,2009-03-18T11:46:00Z,Other,9,51.63730176,-0.014284793
45058091,2009-03-18T22:07:00Z,cat,2,51.43873711,-0.331805652
46168091,2009-03-20T16:36:00Z,cat,2,51.66858263,-0.083228566
46950091,2009-03-21T18:24:00Z,cat,2,51.47865805,-0.062904025
49666091,2009-03-25T19:53:00Z,dog,4,51.51675404,-0.034953717
49798091,2009-03-25T23:32:00Z,cat,2,51.54013744,-0.198646295
50224091,2009-03-26T19:39:00Z,dog,4,51.53694489,0.136186442
50969091,2009-03-28T03:28:00Z,dog,4,51.59007418,0.167161739
51218091,2009-03-28T16:00:00Z,bird,1,51.40946896,-0.301280159
51613091,2009-03-29T11:37:00Z,bird,1,51.52849185,-0.129111558
52735091,2009-03-31T07:40:00Z,cat,2,51.30842551,0.038190634
53242091,2009-03-31T21:00:00Z,cat,2,51.44617602,-0.299427934
53426091,2009-04-01T07:01:00Z,cat,2,51.44658399,-0.300276241
54193091,2009-04-02T11:59:00Z,dog,4,51.45673375,-0.268116991
54586091,2009-04-03T01:27:00Z,dog,4,51.41545484,-0.173149512
56140091,2009-04-05T11:35:00Z,cat,2,51.5405555,-0.194837117
57003091,2009-04-06T16:20:00Z,dog,4,51.42903652,-0.038116382
58297091,2009-04-08T14:31:00Z,cat,2,51.36339425,-0.094533415
60188091,2009-04-11T15:08:00Z,cat,2,51.36896711,-0.18676661
60935091,2009-04-12T22:40:00Z,dog,4,51.53631224,-0.420667426
63759091,2009-04-17T22:04:00Z,dog,4,51.58217448,0.174666936
65250091,2009-04-20T15:43:00Z,cat,2,51.51215481,0.038998078
66477091,2009-04-22T13:05:00Z,dog,4,51.57384876,-0.160860203
67891091,2009-04-24T14:47:00Z,cat,2,51.64107805,-0.047968305
68438091,2009-04-25T12:32:00Z,cat,2,51.55096175,-0.052202746
68463091,2009-04-25T13:25:00Z,cat,2,51.55096175,-0.052202746
69109091,2009-04-26T10:51:00Z,cat,2,51.50669755,-0.228411641
69718091,2009-04-26T23:00:00Z,cat,2,51.55552606,0.005176124
70888091,2009-04-29T02:27:00Z,cat,2,51.53507423,-0.03562075
70939091,2009-04-29T06:57:00Z,cat,2,51.52923128,0.105230888
71406091,2009-04-29T19:45:00Z,dog,4,51.49042384,-0.242957984
73167091,2009-05-02T13:52:00Z,fox,5,51.58762293,0.214149429
73338091,2009-05-02T18:12:00Z,dog,4,51.64105284,-0.033559972
74585091,2009-05-04T16:19:00Z,bird,1,51.53683414,-0.096512325
74705091,2009-05-04T19:27:00Z,bird,1,51.54377698,-0.047894229
75866091,2009-05-06T16:30:00Z,dog,4,51.55199456,0.227349917
76285091,2009-05-07T10:46:00Z,horse,6,51.60774677,-0.037455336
77153091,2009-05-08T20:14:00Z,deer,3,51.50851513,-0.456284776
77871091,2009-05-09T20:35:00Z,bird,1,51.46631319,-0.263406575
78277091,2009-05-10T11:30:00Z,bird,1,51.65216199,-0.080437331
78838091,2009-05-11T07:45:00Z,cat,2,51.5136333,-0.030649027
78887091,2009-05-11T09:57:00Z,dog,4,51.61228715,-0.225992137
79115091,2009-05-11T16:06:00Z,cat,2,51.58210313,-0.019404797
80571091,2009-05-13T16:36:00Z,Other,9,51.58258503,-0.198238142
81584091,2009-05-15T09:56:00Z,cat,2,51.5937312,-0.136350772
