# ----------------------------------------
# All Web Site Data
# Pages
# 20190101-20200104
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"1,097",369,00:01:23,352,49.58%,26.25%,$0.00
/talk/,141,47,00:00:22,3,100.00%,9.93%,$0.00
/publication/,95,56,00:00:21,7,57.14%,18.95%,$0.00
/talk/sums_pokemon/,91,79,00:01:26,76,76.32%,83.52%,$0.00
/?viewer_pane=1&capabilities=1&host=http://127.0.0.1:35382,76,2,00:00:49,2,0.00%,2.63%,$0.00
/teaching/,74,41,00:00:44,5,40.00%,20.27%,$0.00
/?viewer_pane=1&capabilities=1&host=http://127.0.0.1:45277,55,5,00:00:51,4,0.00%,5.45%,$0.00
/?viewer_pane=1&capabilities=1&host=http://127.0.0.1:16194,47,2,00:00:41,2,50.00%,4.26%,$0.00
/?viewer_pane=1&capabilities=1&host=http://127.0.0.1:37404,45,2,00:00:51,1,0.00%,2.22%,$0.00
/lcwk/,45,15,00:00:41,7,14.29%,22.22%,$0.00
,"2,482",904,00:01:03,579,54.66%,23.33%,$0.00

Day Index,Pageviews
1/1/19,0
1/2/19,0
1/3/19,0
1/4/19,0
1/5/19,0
1/6/19,0
1/7/19,0
1/8/19,0
1/9/19,0
1/10/19,0
1/11/19,0
1/12/19,0
1/13/19,0
1/14/19,0
1/15/19,0
1/16/19,0
1/17/19,0
1/18/19,0
1/19/19,0
1/20/19,0
1/21/19,0
1/22/19,0
1/23/19,0
1/24/19,0
1/25/19,0
1/26/19,0
1/27/19,0
1/28/19,0
1/29/19,0
1/30/19,0
1/31/19,0
2/1/19,0
2/2/19,0
2/3/19,0
2/4/19,0
2/5/19,0
2/6/19,0
2/7/19,0
2/8/19,0
2/9/19,0
2/10/19,0
2/11/19,0
2/12/19,0
2/13/19,0
2/14/19,0
2/15/19,0
2/16/19,0
2/17/19,0
2/18/19,0
2/19/19,0
2/20/19,0
2/21/19,0
2/22/19,0
2/23/19,0
2/24/19,0
2/25/19,0
2/26/19,0
2/27/19,0
2/28/19,0
3/1/19,0
3/2/19,0
3/3/19,0
3/4/19,0
3/5/19,0
3/6/19,0
3/7/19,0
3/8/19,0
3/9/19,0
3/10/19,0
3/11/19,0
3/12/19,0
3/13/19,0
3/14/19,0
3/15/19,0
3/16/19,0
3/17/19,0
3/18/19,0
3/19/19,0
3/20/19,0
3/21/19,0
3/22/19,0
3/23/19,0
3/24/19,0
3/25/19,0
3/26/19,0
3/27/19,0
3/28/19,0
3/29/19,0
3/30/19,0
3/31/19,0
4/1/19,0
4/2/19,0
4/3/19,0
4/4/19,0
4/5/19,0
4/6/19,0
4/7/19,0
4/8/19,0
4/9/19,0
4/10/19,0
4/11/19,0
4/12/19,0
4/13/19,0
4/14/19,0
4/15/19,0
4/16/19,0
4/17/19,0
4/18/19,0
4/19/19,0
4/20/19,0
4/21/19,0
4/22/19,0
4/23/19,0
4/24/19,0
4/25/19,0
4/26/19,0
4/27/19,0
4/28/19,0
4/29/19,0
4/30/19,0
5/1/19,0
5/2/19,0
5/3/19,0
5/4/19,5
5/5/19,5
5/6/19,6
5/7/19,5
5/8/19,0
5/9/19,0
5/10/19,0
5/11/19,1
5/12/19,3
5/13/19,0
5/14/19,2
5/15/19,1
5/16/19,0
5/17/19,1
5/18/19,1
5/19/19,0
5/20/19,0
5/21/19,1
5/22/19,1
5/23/19,0
5/24/19,0
5/25/19,1
5/26/19,0
5/27/19,2
5/28/19,1
5/29/19,0
5/30/19,5
5/31/19,1
6/1/19,4
6/2/19,0
6/3/19,1
6/4/19,0
6/5/19,0
6/6/19,2
6/7/19,0
6/8/19,0
6/9/19,0
6/10/19,5
6/11/19,5
6/12/19,1
6/13/19,0
6/14/19,0
6/15/19,1
6/16/19,0
6/17/19,1
6/18/19,3
6/19/19,1
6/20/19,1
6/21/19,2
6/22/19,6
6/23/19,0
6/24/19,0
6/25/19,0
6/26/19,4
6/27/19,2
6/28/19,0
6/29/19,0
6/30/19,0
7/1/19,0
7/2/19,2
7/3/19,0
7/4/19,0
7/5/19,0
7/6/19,0
7/7/19,0
7/8/19,13
7/9/19,87
7/10/19,5
7/11/19,2
7/12/19,1
7/13/19,155
7/14/19,1
7/15/19,1
7/16/19,39
7/17/19,3
7/18/19,2
7/19/19,1
7/20/19,2
7/21/19,113
7/22/19,79
7/23/19,118
7/24/19,177
7/25/19,132
7/26/19,4
7/27/19,1
7/28/19,1
7/29/19,22
7/30/19,1
7/31/19,0
8/1/19,93
8/2/19,5
8/3/19,47
8/4/19,1
8/5/19,2
8/6/19,1
8/7/19,1
8/8/19,22
8/9/19,2
8/10/19,3
8/11/19,3
8/12/19,6
8/13/19,2
8/14/19,2
8/15/19,1
8/16/19,7
8/17/19,3
8/18/19,1
8/19/19,3
8/20/19,8
8/21/19,1
8/22/19,0
8/23/19,1
8/24/19,14
8/25/19,2
8/26/19,7
8/27/19,7
8/28/19,0
8/29/19,8
8/30/19,5
8/31/19,1
9/1/19,3
9/2/19,0
9/3/19,2
9/4/19,0
9/5/19,2
9/6/19,4
9/7/19,12
9/8/19,15
9/9/19,1
9/10/19,2
9/11/19,0
9/12/19,1
9/13/19,8
9/14/19,3
9/15/19,0
9/16/19,10
9/17/19,6
9/18/19,9
9/19/19,2
9/20/19,1
9/21/19,0
9/22/19,1
9/23/19,6
9/24/19,15
9/25/19,11
9/26/19,2
9/27/19,0
9/28/19,2
9/29/19,0
9/30/19,1
10/1/19,1
10/2/19,2
10/3/19,8
10/4/19,4
10/5/19,7
10/6/19,11
10/7/19,19
10/8/19,6
10/9/19,0
10/10/19,2
10/11/19,1
10/12/19,2
10/13/19,1
10/14/19,26
10/15/19,10
10/16/19,6
10/17/19,69
10/18/19,3
10/19/19,2
10/20/19,2
10/21/19,6
10/22/19,5
10/23/19,3
10/24/19,5
10/25/19,6
10/26/19,0
10/27/19,137
10/28/19,20
10/29/19,1
10/30/19,48
10/31/19,13
11/1/19,8
11/2/19,0
11/3/19,5
11/4/19,25
11/5/19,4
11/6/19,4
11/7/19,9
11/8/19,22
11/9/19,3
11/10/19,5
11/11/19,6
11/12/19,2
11/13/19,18
11/14/19,137
11/15/19,0
11/16/19,2
11/17/19,7
11/18/19,50
11/19/19,11
11/20/19,3
11/21/19,8
11/22/19,3
11/23/19,18
11/24/19,11
11/25/19,3
11/26/19,11
11/27/19,4
11/28/19,1
11/29/19,1
11/30/19,0
12/1/19,54
12/2/19,10
12/3/19,5
12/4/19,1
12/5/19,17
12/6/19,3
12/7/19,3
12/8/19,12
12/9/19,9
12/10/19,4
12/11/19,58
12/12/19,2
12/13/19,1
12/14/19,7
12/15/19,3
12/16/19,7
12/17/19,0
12/18/19,0
12/19/19,0
12/20/19,1
12/21/19,0
12/22/19,0
12/23/19,18
12/24/19,0
12/25/19,0
12/26/19,1
12/27/19,5
12/28/19,2
12/29/19,0
12/30/19,8
12/31/19,1
1/1/20,0
1/2/20,0
1/3/20,14
1/4/20,8
,"2,482"
